DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-20 04:32:10,99,403,0,340.97,259.127,201.5,228.027,45947.5,0,0,22.672,315.596
2025-10-20 04:32:12,99,373,0,707.257,528.536,186.5,228.032,42528,0,0,2.528,588.488
2025-10-20 04:32:14,99,303,0,390.419,306.499,151.5,228.01,34543.5,0,0,1.65,331.904
2025-10-20 04:32:16,99,236,0,670.047,459.998,118,228.051,26910,0,0,1.775,657.475
2025-10-20 04:32:18,99,436,0,599.034,518.826,218,228.011,49706.5,0,0,1.849,497.89
2025-10-20 04:32:20,99,368,0,441.701,330.934,184,228.022,41956,0,0,1.601,370.418
